token_idx,layer,experts
0,0,"[21, 32, 36, 17]"
0,1,"[44, 43, 4, 41]"
0,2,"[54, 42, 4, 27]"
0,3,"[31, 53, 28, 43]"
0,4,"[37, 13, 25, 2]"
0,5,"[46, 55, 32, 6]"
0,6,"[51, 34, 36, 15]"
0,7,"[20, 50, 36, 57]"
0,8,"[18, 57, 44, 52]"
0,9,"[4, 33, 16, 26]"
0,10,"[3, 53, 30, 22]"
0,11,"[49, 56, 55, 43]"
0,12,"[21, 39, 22, 5]"
0,13,"[27, 55, 34, 46]"
0,14,"[52, 9, 43, 29]"
0,15,"[50, 17, 32, 23]"
0,16,"[57, 34, 35, 33]"
0,17,"[5, 41, 24, 59]"
0,18,"[57, 4, 34, 37]"
0,19,"[7, 45, 11, 48]"
0,20,"[47, 12, 23, 13]"
0,21,"[33, 10, 51, 13]"
0,22,"[53, 51, 19, 12]"
0,23,"[59, 41, 31, 18]"
1,0,"[18, 6, 9, 29]"
1,1,"[19, 42, 24, 21]"
1,2,"[57, 44, 14, 50]"
1,3,"[53, 25, 46, 38]"
1,4,"[49, 19, 2, 59]"
1,5,"[14, 47, 40, 24]"
1,6,"[51, 47, 35, 9]"
1,7,"[57, 33, 9, 46]"
1,8,"[23, 14, 36, 38]"
1,9,"[20, 59, 7, 28]"
1,10,"[18, 31, 21, 39]"
1,11,"[8, 15, 30, 0]"
1,12,"[38, 35, 9, 40]"
1,13,"[22, 38, 5, 21]"
1,14,"[41, 33, 32, 24]"
1,15,"[37, 50, 27, 31]"
1,16,"[55, 10, 0, 13]"
1,17,"[1, 30, 6, 59]"
1,18,"[1, 57, 23, 18]"
1,19,"[56, 7, 45, 11]"
1,20,"[8, 41, 47, 0]"
1,21,"[7, 10, 33, 32]"
1,22,"[12, 53, 9, 24]"
1,23,"[41, 59, 48, 11]"
2,0,"[10, 50, 37, 51]"
2,1,"[18, 35, 59, 34]"
2,2,"[6, 30, 43, 3]"
2,3,"[30, 2, 44, 5]"
2,4,"[24, 8, 27, 55]"
2,5,"[34, 50, 36, 8]"
2,6,"[35, 31, 43, 46]"
2,7,"[43, 12, 21, 53]"
2,8,"[47, 30, 43, 34]"
2,9,"[32, 41, 28, 7]"
2,10,"[1, 11, 19, 9]"
2,11,"[22, 50, 14, 1]"
2,12,"[54, 2, 3, 52]"
2,13,"[23, 44, 50, 3]"
2,14,"[40, 17, 11, 49]"
2,15,"[55, 32, 40, 48]"
2,16,"[52, 48, 56, 54]"
2,17,"[45, 16, 9, 55]"
2,18,"[17, 26, 30, 48]"
2,19,"[7, 36, 2, 26]"
2,20,"[50, 44, 57, 15]"
2,21,"[56, 17, 16, 36]"
2,22,"[20, 46, 31, 7]"
2,23,"[40, 55, 32, 46]"
3,0,"[4, 47, 52, 1]"
3,1,"[24, 30, 1, 21]"
3,2,"[7, 44, 29, 14]"
3,3,"[25, 33, 26, 59]"
3,4,"[21, 52, 26, 54]"
3,5,"[48, 42, 24, 55]"
3,6,"[22, 27, 29, 59]"
3,7,"[1, 33, 9, 12]"
3,8,"[53, 38, 27, 14]"
3,9,"[8, 20, 25, 19]"
3,10,"[47, 38, 21, 12]"
3,11,"[35, 1, 30, 51]"
3,12,"[38, 9, 33, 52]"
3,13,"[38, 27, 22, 9]"
3,14,"[10, 26, 33, 5]"
3,15,"[49, 19, 25, 31]"
3,16,"[57, 23, 13, 36]"
3,17,"[0, 17, 10, 1]"
3,18,"[38, 57, 51, 24]"
3,19,"[8, 53, 49, 11]"
3,20,"[20, 12, 31, 57]"
3,21,"[6, 53, 49, 14]"
3,22,"[19, 20, 22, 7]"
3,23,"[20, 59, 35, 34]"
4,0,"[10, 15, 37, 51]"
4,1,"[47, 2, 37, 36]"
4,2,"[50, 26, 7, 35]"
4,3,"[49, 33, 59, 6]"
4,4,"[21, 53, 25, 26]"
4,5,"[48, 24, 54, 26]"
4,6,"[51, 47, 0, 55]"
4,7,"[9, 57, 17, 42]"
4,8,"[14, 27, 38, 55]"
4,9,"[20, 8, 26, 32]"
4,10,"[11, 31, 39, 8]"
4,11,"[30, 15, 6, 4]"
4,12,"[38, 9, 33, 29]"
4,13,"[59, 27, 9, 38]"
4,14,"[27, 33, 26, 42]"
4,15,"[9, 19, 25, 49]"
4,16,"[0, 39, 10, 13]"
4,17,"[0, 29, 1, 10]"
4,18,"[27, 18, 31, 38]"
4,19,"[56, 39, 50, 59]"
4,20,"[30, 49, 40, 52]"
4,21,"[56, 32, 3, 1]"
4,22,"[52, 9, 14, 2]"
4,23,"[49, 45, 30, 54]"
5,0,"[19, 41, 26, 2]"
5,1,"[53, 27, 58, 15]"
5,2,"[2, 43, 1, 4]"
5,3,"[57, 24, 45, 0]"
5,4,"[31, 0, 54, 12]"
5,5,"[9, 53, 21, 38]"
5,6,"[37, 30, 56, 50]"
5,7,"[5, 2, 14, 10]"
5,8,"[41, 56, 12, 24]"
5,9,"[52, 44, 6, 8]"
5,10,"[42, 47, 58, 34]"
5,11,"[30, 15, 37, 24]"
5,12,"[9, 19, 33, 50]"
5,13,"[3, 56, 14, 53]"
5,14,"[33, 15, 36, 7]"
5,15,"[9, 25, 42, 49]"
5,16,"[23, 13, 0, 27]"
5,17,"[1, 5, 22, 32]"
5,18,"[4, 9, 56, 41]"
5,19,"[5, 28, 58, 36]"
5,20,"[49, 8, 40, 54]"
5,21,"[39, 41, 49, 36]"
5,22,"[14, 9, 36, 30]"
5,23,"[44, 9, 14, 30]"
6,0,"[17, 27, 26, 32]"
6,1,"[26, 15, 58, 46]"
6,2,"[2, 16, 21, 12]"
6,3,"[38, 0, 45, 2]"
6,4,"[18, 6, 44, 45]"
6,5,"[34, 25, 2, 8]"
6,6,"[7, 55, 49, 41]"
6,7,"[29, 2, 46, 42]"
6,8,"[16, 9, 35, 55]"
6,9,"[18, 57, 0, 32]"
6,10,"[42, 56, 39, 29]"
6,11,"[46, 18, 45, 22]"
6,12,"[7, 32, 54, 11]"
6,13,"[37, 40, 5, 21]"
6,14,"[17, 1, 32, 41]"
6,15,"[22, 9, 40, 13]"
6,16,"[58, 22, 27, 33]"
6,17,"[12, 32, 18, 0]"
6,18,"[42, 59, 12, 23]"
6,19,"[6, 24, 26, 38]"
6,20,"[34, 7, 55, 54]"
6,21,"[45, 28, 49, 20]"
6,22,"[49, 32, 29, 10]"
6,23,"[37, 29, 18, 15]"
7,0,"[14, 56, 45, 22]"
7,1,"[45, 42, 10, 0]"
7,2,"[0, 53, 1, 57]"
7,3,"[51, 22, 4, 39]"
7,4,"[33, 54, 29, 58]"
7,5,"[45, 59, 12, 6]"
7,6,"[54, 49, 59, 13]"
7,7,"[58, 27, 47, 51]"
7,8,"[5, 27, 42, 58]"
7,9,"[22, 59, 8, 56]"
7,10,"[31, 6, 11, 37]"
7,11,"[30, 54, 15, 4]"
7,12,"[38, 29, 35, 1]"
7,13,"[59, 27, 9, 17]"
7,14,"[27, 50, 26, 33]"
7,15,"[9, 19, 14, 25]"
7,16,"[19, 23, 27, 39]"
7,17,"[0, 7, 16, 8]"
7,18,"[33, 38, 54, 40]"
7,19,"[9, 5, 28, 47]"
7,20,"[23, 54, 59, 36]"
7,21,"[54, 49, 32, 17]"
7,22,"[39, 58, 15, 36]"
7,23,"[3, 23, 14, 43]"
8,0,"[31, 5, 52, 53]"
8,1,"[16, 2, 59, 1]"
8,2,"[53, 26, 15, 48]"
8,3,"[30, 15, 0, 29]"
8,4,"[39, 33, 1, 5]"
8,5,"[8, 45, 59, 31]"
8,6,"[43, 31, 49, 57]"
8,7,"[43, 44, 35, 17]"
8,8,"[30, 35, 34, 39]"
8,9,"[54, 37, 18, 24]"
8,10,"[1, 11, 19, 39]"
8,11,"[46, 14, 59, 45]"
8,12,"[30, 23, 2, 43]"
8,13,"[37, 30, 13, 45]"
8,14,"[1, 6, 39, 51]"
8,15,"[55, 40, 41, 35]"
8,16,"[25, 20, 58, 4]"
8,17,"[18, 35, 32, 14]"
8,18,"[26, 36, 12, 34]"
8,19,"[50, 10, 18, 54]"
8,20,"[55, 39, 17, 5]"
8,21,"[28, 6, 41, 17]"
8,22,"[49, 46, 34, 4]"
8,23,"[26, 22, 42, 52]"
9,0,"[12, 10, 16, 3]"
9,1,"[9, 1, 2, 5]"
9,2,"[10, 47, 14, 21]"
9,3,"[33, 25, 24, 18]"
9,4,"[38, 47, 33, 12]"
9,5,"[31, 19, 52, 17]"
9,6,"[47, 12, 26, 59]"
9,7,"[27, 11, 33, 16]"
9,8,"[5, 27, 53, 58]"
9,9,"[56, 8, 39, 26]"
9,10,"[11, 47, 6, 24]"
9,11,"[30, 26, 13, 15]"
9,12,"[29, 50, 19, 28]"
9,13,"[56, 14, 43, 9]"
9,14,"[7, 58, 1, 42]"
9,15,"[14, 25, 28, 15]"
9,16,"[23, 27, 25, 51]"
9,17,"[47, 5, 34, 1]"
9,18,"[0, 25, 56, 16]"
9,19,"[28, 36, 42, 34]"
9,20,"[49, 32, 57, 53]"
9,21,"[22, 36, 44, 48]"
9,22,"[34, 55, 1, 45]"
9,23,"[14, 1, 55, 45]"
10,0,"[28, 26, 27, 2]"
10,1,"[26, 47, 35, 33]"
10,2,"[16, 21, 20, 41]"
10,3,"[24, 8, 37, 21]"
10,4,"[6, 45, 44, 33]"
10,5,"[25, 31, 34, 13]"
10,6,"[55, 7, 41, 39]"
10,7,"[29, 2, 53, 31]"
10,8,"[16, 9, 40, 35]"
10,9,"[0, 18, 57, 43]"
10,10,"[42, 11, 56, 39]"
10,11,"[46, 48, 37, 45]"
10,12,"[32, 54, 7, 11]"
10,13,"[37, 19, 54, 4]"
10,14,"[17, 1, 28, 16]"
10,15,"[22, 41, 13, 2]"
10,16,"[25, 58, 51, 31]"
10,17,"[18, 7, 35, 51]"
10,18,"[20, 19, 12, 21]"
10,19,"[24, 26, 50, 12]"
10,20,"[55, 39, 4, 28]"
10,21,"[45, 16, 28, 44]"
10,22,"[49, 32, 36, 55]"
10,23,"[37, 27, 54, 26]"
11,0,"[14, 42, 0, 56]"
11,1,"[29, 13, 25, 10]"
11,2,"[6, 23, 3, 49]"
11,3,"[9, 29, 21, 36]"
11,4,"[21, 10, 54, 17]"
11,5,"[46, 40, 58, 59]"
11,6,"[28, 14, 6, 11]"
11,7,"[50, 26, 42, 37]"
11,8,"[44, 55, 22, 16]"
11,9,"[9, 18, 4, 2]"
11,10,"[11, 13, 34, 15]"
11,11,"[33, 22, 15, 24]"
11,12,"[47, 22, 32, 23]"
11,13,"[18, 37, 4, 46]"
11,14,"[52, 41, 3, 19]"
11,15,"[4, 2, 51, 41]"
11,16,"[15, 28, 31, 21]"
11,17,"[22, 40, 16, 51]"
11,18,"[54, 44, 58, 35]"
11,19,"[17, 19, 38, 27]"
11,20,"[38, 42, 46, 43]"
11,21,"[0, 36, 14, 6]"
11,22,"[20, 31, 15, 13]"
11,23,"[34, 41, 46, 13]"
12,0,"[0, 30, 5, 23]"
12,1,"[44, 36, 52, 4]"
12,2,"[51, 54, 1, 35]"
12,3,"[31, 56, 22, 39]"
12,4,"[37, 27, 8, 41]"
12,5,"[58, 14, 38, 9]"
12,6,"[34, 51, 36, 14]"
12,7,"[50, 20, 42, 56]"
12,8,"[44, 57, 18, 55]"
12,9,"[4, 34, 12, 2]"
12,10,"[18, 13, 22, 23]"
12,11,"[33, 49, 17, 44]"
12,12,"[22, 39, 21, 47]"
12,13,"[46, 10, 27, 15]"
12,14,"[52, 9, 43, 3]"
12,15,"[50, 17, 44, 6]"
12,16,"[34, 35, 57, 17]"
12,17,"[46, 4, 35, 5]"
12,18,"[57, 47, 22, 18]"
12,19,"[45, 48, 7, 29]"
12,20,"[13, 47, 46, 16]"
12,21,"[13, 10, 33, 15]"
12,22,"[12, 53, 42, 51]"
12,23,"[41, 59, 13, 31]"
13,0,"[18, 0, 13, 44]"
13,1,"[19, 34, 24, 50]"
13,2,"[50, 44, 43, 18]"
13,3,"[53, 40, 5, 25]"
13,4,"[53, 43, 10, 46]"
13,5,"[50, 14, 33, 40]"
13,6,"[35, 36, 2, 9]"
13,7,"[24, 50, 10, 42]"
13,8,"[0, 36, 55, 58]"
13,9,"[20, 34, 26, 7]"
13,10,"[43, 18, 37, 32]"
13,11,"[18, 1, 8, 44]"
13,12,"[16, 40, 38, 53]"
13,13,"[22, 10, 18, 27]"
13,14,"[26, 41, 4, 35]"
13,15,"[19, 30, 24, 57]"
13,16,"[39, 3, 10, 12]"
13,17,"[0, 41, 46, 58]"
13,18,"[57, 18, 47, 25]"
13,19,"[45, 28, 48, 29]"
13,20,"[40, 13, 1, 30]"
13,21,"[53, 2, 13, 21]"
13,22,"[53, 59, 42, 40]"
13,23,"[59, 23, 41, 35]"
14,0,"[50, 54, 13, 49]"
14,1,"[36, 34, 18, 41]"
14,2,"[56, 32, 57, 44]"
14,3,"[3, 23, 53, 49]"
14,4,"[47, 23, 5, 51]"
14,5,"[12, 33, 47, 14]"
14,6,"[9, 33, 8, 44]"
14,7,"[30, 24, 9, 42]"
14,8,"[58, 0, 24, 54]"
14,9,"[58, 32, 40, 12]"
14,10,"[43, 18, 4, 19]"
14,11,"[23, 42, 1, 44]"
14,12,"[17, 16, 42, 34]"
14,13,"[22, 26, 14, 20]"
14,14,"[34, 35, 36, 53]"
14,15,"[20, 24, 57, 8]"
14,16,"[2, 8, 40, 59]"
14,17,"[11, 4, 26, 59]"
14,18,"[47, 10, 18, 25]"
14,19,"[29, 48, 45, 20]"
14,20,"[13, 46, 19, 5]"
14,21,"[15, 13, 46, 10]"
14,22,"[43, 15, 48, 42]"
14,23,"[49, 28, 2, 41]"
15,0,"[40, 15, 24, 57]"
15,1,"[36, 34, 35, 46]"
15,2,"[24, 56, 35, 30]"
15,3,"[4, 33, 13, 19]"
15,4,"[22, 57, 7, 15]"
15,5,"[29, 15, 37, 27]"
15,6,"[42, 19, 44, 16]"
15,7,"[23, 17, 55, 15]"
15,8,"[59, 3, 33, 20]"
15,9,"[36, 50, 52, 15]"
15,10,"[36, 2, 55, 17]"
15,11,"[23, 59, 41, 21]"
